#This file contains all special info about seeds.

#Format:
#seed_id;seed_level;crop_id;mature_id;
#reward1_id;reward2_id;manor_id;is_alternative;
#limit_for_seeds;limit_for_crops

# Gludio Castle
# Seed: Dark Coda
5016;85;5073;5103;1864;1878;1;0;8100;9000
# Seed: Red Coda
5017;85;5068;5098;1865;1879;1;0;8100;9000
# Seed: Chilly Coda
5018;85;5065;5095;1866;1874;1;0;8100;9000
# Seed: Blue Coda
5019;85;5067;5097;1867;1894;1;0;4050;4500
# Seed: Golden Coda
5020;85;5069;5099;1868;1876;1;0;2025;2250
# Seed: Lute Coda
5021;85;5071;5101;1869;1895;1;0;1350;1500
# Seed: Desert Coda
5022;85;5070;5100;1870;1877;1;0;2025;2250
# Seed: Blue Cobol
5023;85;5077;5107;1873;4044;1;0;810;900
# Seed: Blue Coba
6768;85;6541;6555;1894;4039;1;0;324;360
# Seed: Blue Codran
7017;85;5087;5117;1870;1882;1;0;810;900
# Seed: Chilly Cobol
7019;85;5075;5105;1872;1880;1;0;1620;1800
# Seed: Chilly Codran
7021;85;5085;5115;1869;4041;1;0;1013;1125
# Seed: Desert Codran
7023;85;5090;5120;1873;5550;1;0;405;450
# Seed: Great Codran
7028;85;5094;5124;1872;1881;1;0;540;600
# Seed: Red Cobol
7051;85;5078;5108;1871;4042;1;0;2025;2250
# Seed: Twin Codran
7057;85;5092;5122;1871;4040;1;0;810;900
# Dion Castle
# Seed: Blue Coda
5024;85;5067;5097;1867;1894;2;0;4199;4666
# Seed: Golden Coda
5025;85;5069;5099;1868;1876;2;0;2101;2334
# Seed: Lute Coda
5026;85;5071;5101;1869;1895;2;0;1400;1555
# Seed: Desert Coda
5027;85;5070;5100;1870;1877;2;0;2101;2334
# Seed: Red Cobol
5028;85;5078;5108;1871;4042;2;0;2101;2334
# Seed: Chilly Cobol
5029;85;5075;5105;1872;1880;2;0;1679;1866
# Seed: Thorn Cobol
5030;85;5082;5112;1864;5549;2;0;841;934
# Seed: Golden Cobol
5031;85;5079;5109;1865;4039;2;0;841;934
# Seed: Great Cobol
5032;85;5084;5114;1866;1885;2;0;841;934
# Seed: Blue Cobol
7016;85;5077;5107;1873;4044;2;0;841;934
# Seed: Red Codran
7052;85;5088;5118;1867;4043;2;0;1049;1166
# Seed: Sea Codran
7054;85;5091;5121;1868;1884;2;0;841;934
